,date,PM2.5
1,1/1/2022 0:00,
2,1/1/2022 1:00,
3,1/1/2022 2:00,
4,1/1/2022 3:00,
5,1/1/2022 4:00,
6,1/1/2022 5:00,
7,1/1/2022 6:00,
8,1/1/2022 7:00,
9,1/1/2022 8:00,
10,1/1/2022 9:00,
11,1/1/2022 10:00,
12,1/1/2022 11:00,
13,1/1/2022 12:00,
14,1/1/2022 13:00,
15,1/1/2022 14:00,
16,1/1/2022 15:00,
17,1/1/2022 16:00,
18,1/1/2022 17:00,
19,1/1/2022 18:00,
20,1/1/2022 19:00,
21,1/1/2022 20:00,
22,1/1/2022 21:00,
23,1/1/2022 22:00,
24,1/1/2022 23:00,
25,1/2/2022 0:00,
26,1/2/2022 1:00,
27,1/2/2022 2:00,
28,1/2/2022 3:00,
29,1/2/2022 4:00,
30,1/2/2022 5:00,
31,1/2/2022 6:00,
32,1/2/2022 7:00,
33,1/2/2022 8:00,
34,1/2/2022 9:00,
35,1/2/2022 10:00,
36,1/2/2022 11:00,
37,1/2/2022 12:00,
38,1/2/2022 13:00,
39,1/2/2022 14:00,
40,1/2/2022 15:00,
41,1/2/2022 16:00,
42,1/2/2022 17:00,
43,1/2/2022 18:00,
44,1/2/2022 19:00,
45,1/2/2022 20:00,
46,1/2/2022 21:00,
47,1/2/2022 22:00,
48,1/2/2022 23:00,
49,1/3/2022 0:00,
50,1/3/2022 1:00,
51,1/3/2022 2:00,
52,1/3/2022 3:00,
53,1/3/2022 4:00,
54,1/3/2022 5:00,
55,1/3/2022 6:00,
56,1/3/2022 7:00,
57,1/3/2022 8:00,
58,1/3/2022 9:00,
59,1/3/2022 10:00,
60,1/3/2022 11:00,
61,1/3/2022 12:00,
62,1/3/2022 13:00,
63,1/3/2022 14:00,
64,1/3/2022 15:00,
65,1/3/2022 16:00,
66,1/3/2022 17:00,
67,1/3/2022 18:00,
68,1/3/2022 19:00,
69,1/3/2022 20:00,
70,1/3/2022 21:00,
71,1/3/2022 22:00,
72,1/3/2022 23:00,
73,1/4/2022 0:00,
74,1/4/2022 1:00,
75,1/4/2022 2:00,
76,1/4/2022 3:00,
77,1/4/2022 4:00,
78,1/4/2022 5:00,
79,1/4/2022 6:00,
80,1/4/2022 7:00,
81,1/4/2022 8:00,
82,1/4/2022 9:00,
83,1/4/2022 10:00,
84,1/4/2022 11:00,
85,1/4/2022 12:00,
86,1/4/2022 13:00,
87,1/4/2022 14:00,
88,1/4/2022 15:00,
89,1/4/2022 16:00,
90,1/4/2022 17:00,
91,1/4/2022 18:00,
92,1/4/2022 19:00,
93,1/4/2022 20:00,
94,1/4/2022 21:00,
95,1/4/2022 22:00,
96,1/4/2022 23:00,
97,1/5/2022 0:00,
98,1/5/2022 1:00,
99,1/5/2022 2:00,
100,1/5/2022 3:00,
101,1/5/2022 4:00,
102,1/5/2022 5:00,
103,1/5/2022 6:00,
104,1/5/2022 7:00,
105,1/5/2022 8:00,
106,1/5/2022 9:00,
107,1/5/2022 10:00,
108,1/5/2022 11:00,
109,1/5/2022 12:00,
110,1/5/2022 13:00,
111,1/5/2022 14:00,
112,1/5/2022 15:00,
113,1/5/2022 16:00,
114,1/5/2022 17:00,
115,1/5/2022 18:00,
116,1/5/2022 19:00,
117,1/5/2022 20:00,
118,1/5/2022 21:00,
119,1/5/2022 22:00,
120,1/5/2022 23:00,
121,1/6/2022 0:00,
122,1/6/2022 1:00,
123,1/6/2022 2:00,
124,1/6/2022 3:00,
125,1/6/2022 4:00,
126,1/6/2022 5:00,
127,1/6/2022 6:00,
128,1/6/2022 7:00,
129,1/6/2022 8:00,
130,1/6/2022 9:00,
131,1/6/2022 10:00,
132,1/6/2022 11:00,
133,1/6/2022 12:00,
134,1/6/2022 13:00,
135,1/6/2022 14:00,
136,1/6/2022 15:00,
137,1/6/2022 16:00,
138,1/6/2022 17:00,
139,1/6/2022 18:00,
140,1/6/2022 19:00,
141,1/6/2022 20:00,
142,1/6/2022 21:00,
143,1/6/2022 22:00,
144,1/6/2022 23:00,
145,1/7/2022 0:00,
146,1/7/2022 1:00,
147,1/7/2022 2:00,
148,1/7/2022 3:00,
149,1/7/2022 4:00,
150,1/7/2022 5:00,
151,1/7/2022 6:00,
152,1/7/2022 7:00,
153,1/7/2022 8:00,
154,1/7/2022 9:00,
155,1/7/2022 10:00,
156,1/7/2022 11:00,
157,1/7/2022 12:00,
158,1/7/2022 13:00,
159,1/7/2022 14:00,
160,1/7/2022 15:00,
161,1/7/2022 16:00,
162,1/7/2022 17:00,
163,1/7/2022 18:00,
164,1/7/2022 19:00,
165,1/7/2022 20:00,
166,1/7/2022 21:00,
167,1/7/2022 22:00,
168,1/7/2022 23:00,
169,1/8/2022 0:00,
170,1/8/2022 1:00,
171,1/8/2022 2:00,
172,1/8/2022 3:00,
173,1/8/2022 4:00,
174,1/8/2022 5:00,
175,1/8/2022 6:00,
176,1/8/2022 7:00,
177,1/8/2022 8:00,
178,1/8/2022 9:00,
179,1/8/2022 10:00,
180,1/8/2022 11:00,
181,1/8/2022 12:00,
182,1/8/2022 13:00,
183,1/8/2022 14:00,
184,1/8/2022 15:00,
185,1/8/2022 16:00,
186,1/8/2022 17:00,
187,1/8/2022 18:00,
188,1/8/2022 19:00,
189,1/8/2022 20:00,
190,1/8/2022 21:00,
191,1/8/2022 22:00,
192,1/8/2022 23:00,
193,1/9/2022 0:00,
194,1/9/2022 1:00,
195,1/9/2022 2:00,
196,1/9/2022 3:00,
197,1/9/2022 4:00,
198,1/9/2022 5:00,
199,1/9/2022 6:00,
200,1/9/2022 7:00,
201,1/9/2022 8:00,
202,1/9/2022 9:00,
203,1/9/2022 10:00,
204,1/9/2022 11:00,
205,1/9/2022 12:00,
206,1/9/2022 13:00,
207,1/9/2022 14:00,
208,1/9/2022 15:00,
209,1/9/2022 16:00,
210,1/9/2022 17:00,
211,1/9/2022 18:00,
212,1/9/2022 19:00,
213,1/9/2022 20:00,
214,1/9/2022 21:00,
215,1/9/2022 22:00,
216,1/9/2022 23:00,
217,1/10/2022 0:00,
218,1/10/2022 1:00,
219,1/10/2022 2:00,
220,1/10/2022 3:00,
221,1/10/2022 4:00,
222,1/10/2022 5:00,
223,1/10/2022 6:00,
224,1/10/2022 7:00,
225,1/10/2022 8:00,
226,1/10/2022 9:00,
227,1/10/2022 10:00,
228,1/10/2022 11:00,
229,1/10/2022 12:00,
230,1/10/2022 13:00,
231,1/10/2022 14:00,
232,1/10/2022 15:00,
233,1/10/2022 16:00,
234,1/10/2022 17:00,
235,1/10/2022 18:00,
236,1/10/2022 19:00,
237,1/10/2022 20:00,
238,1/10/2022 21:00,
239,1/10/2022 22:00,
240,1/10/2022 23:00,
241,1/11/2022 0:00,
242,1/11/2022 1:00,
243,1/11/2022 2:00,
244,1/11/2022 3:00,
245,1/11/2022 4:00,
246,1/11/2022 5:00,
247,1/11/2022 6:00,
248,1/11/2022 7:00,
249,1/11/2022 8:00,
250,1/11/2022 9:00,
251,1/11/2022 10:00,
252,1/11/2022 11:00,
253,1/11/2022 12:00,
254,1/11/2022 13:00,
255,1/11/2022 14:00,
256,1/11/2022 15:00,
257,1/11/2022 16:00,
258,1/11/2022 17:00,
259,1/11/2022 18:00,
260,1/11/2022 19:00,
261,1/11/2022 20:00,
262,1/11/2022 21:00,
263,1/11/2022 22:00,
264,1/11/2022 23:00,
265,1/12/2022 0:00,
266,1/12/2022 1:00,
267,1/12/2022 2:00,
268,1/12/2022 3:00,
269,1/12/2022 4:00,
270,1/12/2022 5:00,
271,1/12/2022 6:00,
272,1/12/2022 7:00,
273,1/12/2022 8:00,
274,1/12/2022 9:00,
275,1/12/2022 10:00,
276,1/12/2022 11:00,
277,1/12/2022 12:00,
278,1/12/2022 13:00,
279,1/12/2022 14:00,
280,1/12/2022 15:00,
281,1/12/2022 16:00,
282,1/12/2022 17:00,
283,1/12/2022 18:00,
284,1/12/2022 19:00,
285,1/12/2022 20:00,
286,1/12/2022 21:00,
287,1/12/2022 22:00,
288,1/12/2022 23:00,
289,1/13/2022 0:00,
290,1/13/2022 1:00,
291,1/13/2022 2:00,
292,1/13/2022 3:00,
293,1/13/2022 4:00,
294,1/13/2022 5:00,
295,1/13/2022 6:00,
296,1/13/2022 7:00,
297,1/13/2022 8:00,
298,1/13/2022 9:00,
299,1/13/2022 10:00,
300,1/13/2022 11:00,
301,1/13/2022 12:00,
302,1/13/2022 13:00,
303,1/13/2022 14:00,
304,1/13/2022 15:00,
305,1/13/2022 16:00,
