,PM2.5,YEAR,MO,DY,HR,PS,WS2M,WD2M,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M
0,10.25,2022,1,1,0,102.62,3.03,112.3,3.74,112.3,0.4,98.19,0.7,-18.64
1,,2022,1,1,1,102.64,3.15,112.2,3.9,112.2,0.38,97.38,0.7,-18.55
2,,2022,1,1,2,102.66,3.32,111.5,4.11,111.6,0.35,98.04,0.71,-18.47
3,,2022,1,1,3,102.69,3.49,111.7,4.32,111.8,0.31,97.42,0.71,-18.4
4,,2022,1,1,4,102.72,3.62,112.6,4.47,112.5,0.27,98.16,0.72,-18.33
5,,2022,1,1,5,102.73,3.68,113.9,4.55,113.9,0.22,97.34,0.72,-18.24
6,,2022,1,1,6,102.75,3.74,115.2,4.61,115.2,0.16,96.44,0.72,-18.14
7,,2022,1,1,7,102.76,3.79,117.6,4.68,117.6,0.12,96.78,0.73,-18.03
8,,2022,1,1,8,102.78,3.85,120.1,4.75,120.1,0.09,95.89,0.73,-17.93
9,,2022,1,1,9,102.81,3.91,121.8,4.82,121.8,0.08,94.15,0.72,-17.88
10,,2022,1,1,10,102.83,4.07,123.1,5.0,123.0,0.09,94.26,0.72,-17.89
11,,2022,1,1,11,102.86,4.27,125.8,5.22,125.7,0.1,92.64,0.7,-18.0
12,,2022,1,1,12,102.9,4.4,126.4,5.34,126.4,0.11,92.0,0.68,-18.23
13,,2022,1,1,13,102.92,4.47,125.1,5.4,125.0,0.12,92.23,0.66,-18.57
14,,2022,1,1,14,102.93,4.5,122.9,5.41,123.0,0.11,93.1,0.64,-18.99
15,,2022,1,1,15,102.94,4.51,120.5,5.41,120.5,0.1,92.55,0.61,-19.43
16,,2022,1,1,16,102.96,4.52,117.7,5.41,117.7,0.09,93.29,0.59,-19.86
17,,2022,1,1,17,102.95,4.5,115.8,5.4,115.8,0.08,93.83,0.57,-20.28
18,,2022,1,1,18,102.95,4.44,114.8,5.36,114.8,0.07,93.55,0.55,-20.62
19,,2022,1,1,19,102.95,4.34,114.4,5.25,114.3,0.06,94.46,0.54,-20.91
20,,2022,1,1,20,102.96,4.2,113.0,5.1,112.9,0.05,95.55,0.53,-21.22
21,,2022,1,1,21,102.98,4.2,111.8,5.09,111.8,0.06,97.28,0.52,-21.6
22,,2022,1,1,22,102.99,4.27,111.2,5.15,111.2,0.08,97.46,0.5,-22.02
23,,2022,1,1,23,103.01,4.35,109.8,5.21,109.8,0.11,97.3,0.48,-22.42
24,,2022,1,2,0,103.02,4.44,109.5,5.31,109.5,0.14,98.22,0.47,-22.73
25,,2022,1,2,1,103.02,4.49,110.9,5.34,110.9,0.17,97.76,0.46,-22.9
26,,2022,1,2,2,103.03,4.42,113.0,5.29,113.2,0.2,97.67,0.46,-22.89
27,,2022,1,2,3,103.03,4.27,115.4,5.14,115.5,0.22,98.04,0.47,-22.71
28,,2022,1,2,4,103.03,4.14,117.0,5.01,117.1,0.22,98.09,0.48,-22.5
29,,2022,1,2,5,103.04,4.02,119.2,4.88,119.3,0.24,98.4,0.49,-22.32
30,,2022,1,2,6,103.05,3.91,121.8,4.78,122.0,0.27,98.28,0.5,-22.1
31,,2022,1,2,7,103.07,3.76,124.3,4.62,124.5,0.3,97.66,0.51,-21.83
32,,2022,1,2,8,103.09,3.58,126.1,4.42,126.4,0.33,96.92,0.52,-21.55
33,,2022,1,2,9,103.13,3.42,128.3,4.24,128.5,0.34,97.79,0.54,-21.25
34,,2022,1,2,10,103.18,3.26,130.3,4.09,130.4,0.34,96.99,0.55,-20.97
35,,2022,1,2,11,103.24,2.95,132.1,3.75,132.2,0.25,97.7,0.57,-20.67
36,,2022,1,2,12,103.28,2.65,132.7,3.44,132.6,0.18,97.09,0.58,-20.42
37,,2022,1,2,13,103.32,2.46,133.0,3.23,133.0,0.15,97.29,0.59,-20.26
38,,2022,1,2,14,103.34,2.31,132.5,3.04,132.5,0.15,98.09,0.6,-20.17
39,,2022,1,2,15,103.35,2.13,130.8,2.81,130.8,0.15,97.54,0.6,-20.11
40,,2022,1,2,16,103.35,1.88,128.8,2.53,128.6,0.14,97.08,0.6,-20.06
41,,2022,1,2,17,103.36,1.67,124.7,2.28,124.8,0.15,96.99,0.6,-20.05
42,,2022,1,2,18,103.37,1.52,118.2,2.1,118.2,0.15,97.19,0.6,-20.07
43,,2022,1,2,19,103.39,1.46,109.5,2.02,109.7,0.15,97.58,0.6,-20.11
44,,2022,1,2,20,103.4,1.51,99.9,2.04,100.2,0.16,96.62,0.59,-20.18
45,,2022,1,2,21,103.41,1.57,90.7,2.08,90.8,0.16,97.56,0.59,-20.28
46,,2022,1,2,22,103.4,1.6,81.0,2.07,81.1,0.15,96.92,0.58,-20.39
47,,2022,1,2,23,103.4,1.76,71.8,2.22,71.6,0.15,96.54,0.57,-20.53
48,,2022,1,3,0,103.41,2.18,64.1,2.66,64.1,0.15,96.42,0.56,-20.7
49,,2022,1,3,1,103.4,2.56,57.4,3.06,57.4,0.14,96.44,0.55,-20.89
50,,2022,1,3,2,103.38,2.83,50.5,3.34,50.3,0.17,94.83,0.53,-21.1
51,,2022,1,3,3,103.35,3.13,43.3,3.67,43.3,0.19,91.63,0.5,-21.35
52,,2022,1,3,4,103.32,3.59,40.0,4.19,40.1,0.2,89.34,0.47,-21.73
53,,2022,1,3,5,103.3,3.98,41.0,4.65,41.0,0.21,88.41,0.45,-22.07
54,,2022,1,3,6,103.26,4.14,43.9,4.84,43.9,0.19,88.9,0.44,-22.36
55,,2022,1,3,7,103.25,4.2,47.1,4.94,47.1,0.15,91.0,0.44,-22.6
56,,2022,1,3,8,103.25,4.26,50.1,5.03,50.0,0.13,90.95,0.43,-22.83
57,,2022,1,3,9,103.26,4.31,52.1,5.11,52.1,0.15,90.97,0.42,-23.07
58,,2022,1,3,10,103.27,4.44,53.7,5.26,53.7,0.19,93.79,0.42,-23.38
59,,2022,1,3,11,103.26,4.61,53.2,5.44,53.2,0.22,94.96,0.41,-23.75
60,,2022,1,3,12,103.23,4.72,51.8,5.58,51.8,0.21,96.56,0.4,-24.17
61,,2022,1,3,13,103.2,4.78,49.1,5.64,49.1,0.18,95.61,0.38,-24.59
62,,2022,1,3,14,103.17,4.83,45.6,5.69,45.5,0.19,96.28,0.37,-24.93
63,,2022,1,3,15,103.15,4.93,41.2,5.8,41.2,0.28,96.12,0.36,-25.19
64,,2022,1,3,16,103.12,5.0,36.3,5.89,36.3,0.38,97.45,0.36,-25.33
65,,2022,1,3,17,103.07,4.95,30.4,5.85,30.4,0.38,96.04,0.36,-25.19
66,,2022,1,3,18,103.01,4.83,23.2,5.73,23.1,0.35,95.84,0.37,-24.9
67,,2022,1,3,19,102.94,4.79,15.9,5.7,15.9,0.35,97.79,0.39,-24.58
68,,2022,1,3,20,102.88,4.86,11.1,5.79,11.2,0.39,96.72,0.4,-24.22
69,,2022,1,3,21,102.82,4.92,9.6,5.88,9.6,0.43,97.06,0.42,-23.77
70,,2022,1,3,22,102.76,4.93,9.6,5.91,9.5,0.47,97.21,0.44,-23.32
71,,2022,1,3,23,102.71,4.92,10.6,5.91,10.6,0.59,97.18,0.46,-22.87
72,,2022,1,4,0,102.64,5.15,12.9,6.21,12.9,0.77,96.2,0.48,-22.34
73,,2022,1,4,1,102.57,5.06,9.7,6.12,9.6,0.87,97.1,0.51,-21.82
74,,2022,1,4,2,102.49,5.27,4.8,6.36,4.8,0.84,96.23,0.53,-21.34
75,,2022,1,4,3,102.4,5.69,2.3,6.87,2.3,0.78,96.44,0.55,-20.99
76,,2022,1,4,4,102.31,6.01,2.2,7.26,2.2,0.73,97.29,0.57,-20.72
77,,2022,1,4,5,102.23,6.19,1.9,7.46,1.8,0.67,96.75,0.58,-20.49
78,,2022,1,4,6,102.15,6.32,0.7,7.62,0.8,0.57,94.92,0.58,-20.3
79,,2022,1,4,7,102.06,6.4,359.0,7.72,359.0,0.51,95.09,0.59,-20.15
80,,2022,1,4,8,101.99,6.45,356.8,7.78,356.8,0.49,93.84,0.59,-20.02
81,,2022,1,4,9,101.92,6.49,354.6,7.84,354.6,0.48,94.36,0.6,-19.91
82,,2022,1,4,10,101.85,6.3,350.0,7.6,350.0,0.47,93.13,0.6,-19.78
83,,2022,1,4,11,101.76,6.15,344.5,7.43,344.5,0.48,93.69,0.61,-19.68
84,,2022,1,4,12,101.64,6.0,337.7,7.26,337.6,0.57,95.01,0.63,-19.5
85,,2022,1,4,13,101.52,6.01,327.0,7.27,327.0,0.76,95.51,0.65,-19.24
86,,2022,1,4,14,101.37,6.35,319.9,7.69,319.9,1.13,97.22,0.68,-18.97
87,,2022,1,4,15,101.21,6.51,316.6,7.87,316.5,1.66,97.49,0.7,-18.71
88,,2022,1,4,16,101.05,6.68,315.0,8.06,315.0,2.06,97.67,0.72,-18.45
89,,2022,1,4,17,100.91,6.78,316.9,8.19,316.8,2.37,97.25,0.74,-18.13
90,,2022,1,4,18,100.79,6.73,317.1,8.12,317.0,2.67,96.52,0.76,-17.78
91,,2022,1,4,19,100.67,6.7,316.0,8.08,316.0,2.97,96.1,0.78,-17.47
92,,2022,1,4,20,100.57,6.72,314.8,8.11,314.8,3.08,97.01,0.81,-17.18
93,,2022,1,4,21,100.47,6.74,315.5,8.13,315.6,3.01,96.65,0.83,-16.89
94,,2022,1,4,22,100.39,6.55,318.6,7.91,318.7,2.84,96.42,0.85,-16.62
95,,2022,1,4,23,100.3,6.16,324.4,7.42,324.3,2.83,96.78,0.87,-16.42
96,,2022,1,5,0,100.21,5.61,331.6,6.74,331.6,2.82,95.34,0.87,-16.27
97,,2022,1,5,1,100.12,5.02,340.6,6.0,340.5,2.61,93.55,0.86,-16.2
98,,2022,1,5,2,100.05,4.43,352.9,5.29,352.8,2.26,92.58,0.85,-16.22
99,,2022,1,5,3,100.01,4.02,8.6,4.76,8.6,1.97,90.53,0.82,-16.37
100,,2022,1,5,4,99.97,3.81,23.9,4.48,23.8,1.64,88.53,0.78,-16.67
101,,2022,1,5,5,99.96,3.71,35.8,4.33,35.8,1.35,86.57,0.73,-17.14
102,,2022,1,5,6,99.97,3.58,45.9,4.14,45.8,0.93,86.1,0.69,-17.68
103,,2022,1,5,7,99.98,3.49,53.4,4.03,53.3,0.64,85.37,0.65,-18.22
104,,2022,1,5,8,99.99,3.39,59.3,3.9,59.3,0.45,84.82,0.62,-18.65
105,,2022,1,5,9,100.02,3.14,64.9,3.63,64.9,0.37,85.57,0.61,-18.91
106,,2022,1,5,10,100.04,2.83,71.2,3.3,71.3,0.39,86.16,0.61,-18.98
107,,2022,1,5,11,100.07,2.51,77.3,2.99,78.0,0.42,88.42,0.63,-18.91
108,,2022,1,5,12,100.09,2.2,81.4,2.72,83.0,0.38,89.08,0.64,-18.82
109,,2022,1,5,13,100.11,1.98,94.4,2.55,95.6,0.41,91.26,0.66,-18.75
110,,2022,1,5,14,100.14,2.01,113.1,2.68,112.4,0.46,92.23,0.67,-18.7
111,,2022,1,5,15,100.17,2.53,124.7,3.38,123.0,0.33,93.11,0.68,-18.64
112,,2022,1,5,16,100.19,3.33,130.7,4.36,129.4,0.26,94.14,0.69,-18.6
113,,2022,1,5,17,100.24,4.17,133.4,5.34,132.8,0.25,94.99,0.69,-18.69
114,,2022,1,5,18,100.29,5.12,134.4,6.4,134.2,0.28,95.37,0.68,-18.88
115,,2022,1,5,19,100.35,6.03,133.4,7.39,133.3,0.29,96.66,0.67,-19.17
116,,2022,1,5,20,100.43,6.76,134.2,8.2,134.1,0.3,95.23,0.63,-19.65
117,,2022,1,5,21,100.51,7.15,134.4,8.62,134.3,0.33,95.5,0.6,-20.18
118,,2022,1,5,22,100.6,7.36,135.3,8.85,135.2,0.32,93.98,0.56,-20.72
119,,2022,1,5,23,100.69,7.21,134.8,8.63,134.8,0.27,92.12,0.52,-21.27
120,,2022,1,6,0,100.75,6.87,133.6,8.2,133.7,0.29,92.41,0.5,-21.7
121,,2022,1,6,1,100.8,6.45,132.4,7.69,132.4,0.3,93.11,0.49,-21.98
122,,2022,1,6,2,100.85,6.1,130.7,7.29,130.8,0.32,91.2,0.47,-22.19
123,,2022,1,6,3,100.9,5.81,128.6,6.95,128.6,0.28,90.55,0.46,-22.33
124,,2022,1,6,4,100.95,5.52,126.6,6.64,126.6,0.23,91.31,0.46,-22.41
125,,2022,1,6,5,100.99,5.46,126.4,6.6,126.3,0.2,89.88,0.45,-22.47
126,,2022,1,6,6,101.03,5.64,127.3,6.81,127.4,0.19,88.6,0.44,-22.55
127,,2022,1,6,7,101.07,5.76,127.3,6.93,127.4,0.17,87.48,0.43,-22.65
128,,2022,1,6,8,101.13,5.8,127.2,6.99,127.3,0.18,88.57,0.43,-22.77
129,,2022,1,6,9,101.2,5.74,127.3,6.89,127.2,0.19,87.94,0.42,-22.93
130,,2022,1,6,10,101.25,5.54,126.7,6.62,126.7,0.19,89.55,0.42,-23.11
131,,2022,1,6,11,101.3,5.27,125.0,6.28,125.0,0.18,89.46,0.41,-23.34
132,,2022,1,6,12,101.34,4.95,121.5,5.88,121.6,0.17,91.73,0.41,-23.59
133,,2022,1,6,13,101.37,4.6,116.6,5.44,116.7,0.17,91.59,0.4,-23.82
134,,2022,1,6,14,101.38,4.36,111.1,5.13,111.1,0.15,94.08,0.4,-24.09
135,,2022,1,6,15,101.39,4.19,105.2,4.92,105.3,0.13,94.89,0.39,-24.43
136,,2022,1,6,16,101.4,4.17,99.4,4.88,99.3,0.11,96.22,0.38,-24.83
137,,2022,1,6,17,101.43,4.22,95.2,4.95,95.2,0.09,94.61,0.36,-25.2
138,,2022,1,6,18,101.46,4.2,92.0,4.95,92.1,0.08,95.49,0.35,-25.57
139,,2022,1,6,19,101.5,4.13,89.0,4.89,89.1,0.04,96.42,0.34,-25.95
140,,2022,1,6,20,101.53,3.93,86.5,4.7,86.5,0.03,97.17,0.33,-26.32
141,,2022,1,6,21,101.55,3.62,82.5,4.4,82.6,0.02,97.14,0.32,-26.62
142,,2022,1,6,22,101.58,3.16,77.6,3.92,77.5,0.0,97.24,0.31,-26.94
143,,2022,1,6,23,101.6,2.99,71.5,3.79,71.4,0.0,98.02,0.3,-27.34
144,,2022,1,7,0,101.6,3.1,66.7,3.94,66.5,0.01,98.3,0.29,-27.7
145,,2022,1,7,1,101.59,3.26,62.2,4.1,62.1,0.01,97.77,0.28,-27.99
146,,2022,1,7,2,101.59,3.38,57.2,4.24,57.1,0.01,99.89,0.28,-28.2
147,,2022,1,7,3,101.58,3.53,51.2,4.4,51.2,0.02,98.11,0.27,-28.38
148,,2022,1,7,4,101.56,3.79,46.5,4.7,46.5,0.02,98.9,0.27,-28.46
149,,2022,1,7,5,101.53,4.04,45.9,5.0,45.9,0.02,98.47,0.27,-28.42
150,,2022,1,7,6,101.5,4.18,48.0,5.16,48.1,0.02,96.94,0.27,-28.27
151,,2022,1,7,7,101.5,4.14,48.1,5.09,48.1,0.05,99.09,0.28,-28.13
152,,2022,1,7,8,101.51,4.17,48.0,5.13,48.0,0.07,97.49,0.28,-27.97
153,,2022,1,7,9,101.52,4.29,50.3,5.24,50.3,0.09,99.84,0.29,-27.86
154,,2022,1,7,10,101.54,4.38,53.9,5.33,53.9,0.12,99.45,0.29,-27.82
155,,2022,1,7,11,101.56,4.33,57.2,5.26,57.1,0.12,98.45,0.29,-27.72
156,,2022,1,7,12,101.57,4.15,59.6,5.05,59.7,0.12,97.26,0.29,-27.6
157,,2022,1,7,13,101.55,4.09,62.5,4.98,62.5,0.1,99.68,0.3,-27.51
158,,2022,1,7,14,101.51,4.07,66.4,4.98,66.4,0.07,99.14,0.3,-27.46
159,,2022,1,7,15,101.48,3.96,71.2,4.88,71.2,0.06,95.8,0.29,-27.46
160,,2022,1,7,16,101.46,3.78,75.3,4.68,75.4,0.07,96.17,0.29,-27.5
161,,2022,1,7,17,101.45,3.36,76.7,4.17,76.7,0.08,96.27,0.29,-27.51
162,,2022,1,7,18,101.48,2.67,72.1,3.36,71.9,0.08,96.29,0.29,-27.51
163,,2022,1,7,19,101.51,2.35,65.1,2.98,65.2,0.1,96.22,0.29,-27.5
164,,2022,1,7,20,101.5,2.67,65.9,3.31,65.8,0.14,98.83,0.3,-27.43
165,,2022,1,7,21,101.47,3.09,71.9,3.79,72.0,0.14,97.3,0.3,-27.28
166,,2022,1,7,22,101.43,3.21,80.1,3.93,80.2,0.11,98.28,0.31,-27.06
167,,2022,1,7,23,101.39,3.21,86.4,3.93,86.5,0.11,99.18,0.32,-26.84
168,,2022,1,8,0,101.35,3.1,91.5,3.81,91.5,0.12,97.06,0.32,-26.63
169,,2022,1,8,1,101.34,2.71,95.5,3.37,95.6,0.14,97.98,0.33,-26.42
170,,2022,1,8,2,101.35,2.35,96.6,2.94,96.4,0.17,96.22,0.33,-26.24
