,PM2.5,YEAR,MO,DY,HR,PS,WS2M,WD2M,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M
0,43.45010212231962,2022,1,1,0,93.29,0.72,305.9,1.18,305.3,0.0,84.83,7.43,10.94
1,43.45010212231962,2022,1,1,1,93.26,0.59,296.1,0.93,297.4,0.0,82.53,7.24,10.96
2,43.45010212231962,2022,1,1,2,93.22,0.58,279.9,0.93,281.2,0.0,82.79,7.05,10.51
3,43.45010212231962,2022,1,1,3,93.2,0.66,279.6,1.05,280.5,0.0,83.56,6.86,9.96
4,43.45010212231962,2022,1,1,4,93.17,0.6,294.4,0.95,296.3,0.0,82.25,6.7,9.84
5,43.45010212231962,2022,1,1,5,93.18,0.55,312.1,0.82,315.0,0.0,78.71,6.51,10.07
6,43.45010212231962,2022,1,1,6,93.21,0.52,336.4,0.79,337.7,0.0,75.03,6.26,10.21
7,43.45010212231962,2022,1,1,7,93.27,0.44,350.8,0.7,349.3,0.0,71.54,6.11,10.57
8,43.45010212231962,2022,1,1,8,93.33,0.1,315.0,0.26,330.5,0.0,70.93,7.08,12.93
9,43.45010212231962,2022,1,1,9,93.4,0.98,241.3,1.28,242.6,0.0,60.94,7.19,15.52
10,43.45010212231962,2022,1,1,10,93.42,1.84,232.1,2.4,232.3,0.0,58.45,7.54,16.92
11,43.45010212231962,2022,1,1,11,93.36,2.22,229.2,2.9,229.1,0.0,57.95,7.87,17.72
12,43.45010212231962,2022,1,1,12,93.27,2.46,230.9,3.23,230.9,0.0,57.85,8.08,18.15
13,43.45010212231962,2022,1,1,13,93.18,2.64,235.0,3.5,235.1,0.0,58.28,8.2,18.25
14,43.45010212231962,2022,1,1,14,93.13,2.62,239.7,3.53,239.9,0.0,59.85,8.27,17.95
15,43.45010212231962,2022,1,1,15,93.1,2.38,244.1,3.29,244.2,0.0,63.01,8.3,17.19
16,43.45010212231962,2022,1,1,16,93.11,1.68,246.5,2.55,246.7,0.0,72.98,8.69,15.6
17,43.45010212231962,2022,1,1,17,93.13,0.92,252.3,2.05,251.8,0.0,87.89,8.37,12.17
18,43.45010212231962,2022,1,1,18,93.18,0.8,272.1,1.86,268.8,0.0,90.28,7.83,10.77
19,43.45010212231962,2022,1,1,19,93.22,0.75,291.8,1.66,287.6,0.0,92.36,7.61,10.01
20,43.45010212231962,2022,1,1,20,93.24,0.81,303.9,1.63,301.4,0.0,92.79,7.4,9.53
21,43.45010212231962,2022,1,1,21,93.24,0.86,308.9,1.6,307.9,0.0,91.14,7.17,9.33
22,43.45010212231962,2022,1,1,22,93.21,0.86,307.0,1.5,306.3,0.0,88.31,6.93,9.29
23,43.45010212231962,2022,1,1,23,93.18,0.84,303.9,1.42,303.8,0.0,85.95,6.71,9.21
24,43.45010212231962,2022,1,2,0,93.15,0.8,303.3,1.31,303.8,0.0,83.35,6.5,9.19
25,43.45010212231962,2022,1,2,1,93.14,0.77,304.9,1.22,306.7,0.0,80.18,6.32,9.35
26,43.45010212231962,2022,1,2,2,93.1,0.68,310.2,1.11,312.4,0.0,78.75,6.13,9.16
27,43.45010212231962,2022,1,2,3,93.06,0.64,312.5,1.07,315.4,0.0,76.44,5.92,9.08
28,43.45010212231962,2022,1,2,4,93.05,0.7,309.2,1.15,312.5,0.0,74.65,5.68,8.82
29,43.45010212231962,2022,1,2,5,93.07,0.72,308.8,1.21,312.7,0.0,72.92,5.45,8.56
30,43.45010212231962,2022,1,2,6,93.1,0.65,313.8,1.1,319.1,0.0,69.7,5.21,8.57
31,43.45010212231962,2022,1,2,7,93.14,0.57,315.7,0.95,324.0,0.0,65.43,5.15,9.34
32,43.45010212231962,2022,1,2,8,93.19,0.42,292.3,0.72,305.4,0.0,68.38,6.36,11.84
33,43.45010212231962,2022,1,2,9,93.26,0.86,261.3,1.13,263.4,0.0,58.24,6.42,14.45
34,43.45010212231962,2022,1,2,10,93.29,1.48,236.8,1.89,237.1,0.0,55.64,6.92,16.33
35,43.45010212231962,2022,1,2,11,93.24,1.93,229.2,2.48,229.2,0.0,55.27,7.34,17.35
36,43.45010212231962,2022,1,2,12,93.14,2.16,229.7,2.81,229.6,0.0,55.5,7.63,17.88
37,43.45010212231962,2022,1,2,13,93.03,2.26,235.5,2.95,235.3,0.0,56.55,7.82,17.95
38,43.45010212231962,2022,1,2,14,92.95,2.14,241.9,2.87,242.2,0.0,59.06,7.85,17.31
39,43.45010212231962,2022,1,2,15,92.9,1.91,245.6,2.72,245.7,0.0,64.43,7.99,16.21
40,43.45010212231962,2022,1,2,16,92.88,1.14,247.3,1.9,247.8,0.0,77.88,8.62,14.43
41,43.45010212231962,2022,1,2,17,92.92,0.86,259.2,1.83,257.7,0.0,86.13,8.08,11.91
42,43.45010212231962,2022,1,2,18,93.0,0.74,280.9,1.76,275.9,0.0,88.3,7.49,10.41
43,43.45010212231962,2022,1,2,19,93.07,0.69,298.4,1.61,292.6,0.0,89.6,7.24,9.7
44,43.45010212231962,2022,1,2,20,93.13,0.71,302.3,1.51,297.6,0.0,88.67,6.96,9.28
45,43.45010212231962,2022,1,2,21,93.14,0.72,300.1,1.34,297.5,0.0,86.75,6.73,9.11
46,43.45010212231962,2022,1,2,22,93.12,0.67,292.8,1.17,292.2,0.0,84.57,6.53,9.04
47,43.45010212231962,2022,1,2,23,93.08,0.61,286.1,1.04,284.4,0.0,81.92,6.37,9.14
48,43.45010212231962,2022,1,3,0,93.04,0.6,287.5,0.98,286.0,0.0,79.01,6.23,9.34
49,43.45010212231962,2022,1,3,1,93.04,0.73,303.3,1.18,302.2,0.0,77.16,6.1,9.38
50,43.45010212231962,2022,1,3,2,93.01,0.77,317.6,1.23,317.0,0.0,73.87,5.92,9.58
51,43.45010212231962,2022,1,3,3,92.95,0.73,334.1,1.14,332.8,0.0,71.39,5.69,9.49
52,43.45010212231962,2022,1,3,4,92.9,0.81,344.3,1.26,343.4,0.0,69.38,5.45,9.27
53,43.45010212231962,2022,1,3,5,92.88,0.81,352.2,1.22,351.1,0.0,65.33,5.23,9.55
54,43.45010212231962,2022,1,3,6,92.89,0.72,347.9,1.03,347.0,0.0,60.48,5.04,10.15
55,43.45010212231962,2022,1,3,7,92.93,0.7,332.7,1.02,333.2,0.0,59.35,5.04,10.44
56,43.45010212231962,2022,1,3,8,92.99,0.69,306.7,1.1,308.3,0.0,66.5,6.41,12.35
57,43.45010212231962,2022,1,3,9,93.03,1.18,273.9,1.55,274.1,0.0,59.55,6.65,14.61
58,43.45010212231962,2022,1,3,10,93.04,1.65,252.3,2.12,252.2,0.0,56.98,7.13,16.38
59,43.45010212231962,2022,1,3,11,92.97,2.26,241.2,2.97,241.0,0.0,56.17,7.53,17.45
60,43.45010212231962,2022,1,3,12,92.86,2.71,237.4,3.6,237.4,0.0,56.49,7.8,17.9
61,43.45010212231962,2022,1,3,13,92.78,2.95,237.3,3.97,237.4,0.0,57.12,7.94,17.99
62,43.45010212231962,2022,1,3,14,92.74,2.88,239.3,3.92,239.3,0.0,58.91,8.03,17.67
63,43.45010212231962,2022,1,3,15,92.72,2.35,244.0,3.24,243.8,0.0,62.78,8.11,16.82
64,43.45010212231962,2022,1,3,16,92.72,1.41,246.5,2.18,246.5,0.0,73.35,8.58,15.26
65,43.45010212231962,2022,1,3,17,92.75,0.79,253.2,1.8,252.6,0.0,87.46,8.48,12.38
66,43.45010212231962,2022,1,3,18,92.83,0.85,269.3,1.77,269.0,0.0,86.75,7.74,11.14
67,43.45010212231962,2022,1,3,19,92.88,0.82,284.9,1.58,284.3,0.0,86.05,7.45,10.7
68,43.45010212231962,2022,1,3,20,92.94,0.89,293.1,1.74,292.3,0.0,88.22,7.23,9.89
69,43.45010212231962,2022,1,3,21,93.0,0.96,296.6,1.89,295.3,0.0,89.44,7.03,9.28
70,43.45010212231962,2022,1,3,22,92.99,0.77,301.2,1.34,301.9,0.0,85.33,6.83,9.55
71,43.45010212231962,2022,1,3,23,92.94,0.53,284.3,0.89,288.4,0.0,82.66,6.7,9.73
72,43.45010212231962,2022,1,4,0,92.93,0.64,269.1,1.13,270.5,0.0,82.48,6.57,9.47
73,43.45010212231962,2022,1,4,1,92.94,0.65,269.1,1.12,271.0,0.0,81.96,6.44,9.27
74,43.45010212231962,2022,1,4,2,92.91,0.58,276.9,0.98,279.9,0.0,80.13,6.28,9.23
75,43.45010212231962,2022,1,4,3,92.88,0.51,287.0,0.86,293.3,0.0,78.32,6.07,9.06
76,43.45010212231962,2022,1,4,4,92.85,0.5,296.0,0.88,302.4,0.0,77.62,5.84,8.62
77,43.45010212231962,2022,1,4,5,92.87,0.52,300.0,0.91,306.5,0.0,75.22,5.6,8.47
78,43.45010212231962,2022,1,4,6,92.91,0.48,297.1,0.82,303.1,0.0,73.04,5.38,8.32
79,43.45010212231962,2022,1,4,7,92.98,0.39,291.3,0.63,300.7,0.0,70.45,5.35,8.78
80,43.45010212231962,2022,1,4,8,93.06,0.34,235.8,0.45,258.4,0.0,72.44,6.59,11.48
81,43.45010212231962,2022,1,4,9,93.14,0.99,239.0,1.3,241.1,0.0,58.9,6.31,13.99
82,43.45010212231962,2022,1,4,10,93.17,1.84,233.4,2.42,233.4,0.0,55.01,6.6,15.75
83,43.45010212231962,2022,1,4,11,93.11,2.1,226.7,2.74,226.9,0.0,53.28,6.95,17.05
84,43.45010212231962,2022,1,4,12,92.99,2.16,218.4,2.8,218.5,0.0,53.56,7.31,17.74
85,43.45010212231962,2022,1,4,13,92.87,2.23,213.5,2.91,213.4,0.0,54.28,7.57,18.06
86,43.45010212231962,2022,1,4,14,92.8,2.33,213.1,3.1,213.0,0.0,56.09,7.74,17.88
87,43.45010212231962,2022,1,4,15,92.79,2.44,221.5,3.38,221.5,0.0,60.09,7.87,17.05
88,43.45010212231962,2022,1,4,16,92.84,1.85,230.3,2.78,230.5,0.0,70.8,8.27,15.26
89,43.45010212231962,2022,1,4,17,92.9,0.87,241.1,1.88,241.0,0.0,85.47,8.03,11.93
90,43.45010212231962,2022,1,4,18,92.97,0.59,260.2,1.11,258.1,0.0,83.7,7.47,11.17
91,43.45010212231962,2022,1,4,19,93.01,0.39,281.9,0.64,282.7,0.0,83.38,7.29,10.87
92,43.45010212231962,2022,1,4,20,93.06,0.49,302.4,0.77,302.9,0.0,83.49,7.17,10.61
93,43.45010212231962,2022,1,4,21,93.08,0.52,324.5,0.79,328.5,0.0,80.64,7.04,10.86
94,43.45010212231962,2022,1,4,22,93.06,0.51,311.8,0.74,312.3,0.0,78.47,6.92,11.01
95,43.45010212231962,2022,1,4,23,93.01,0.54,318.0,0.77,318.7,0.0,77.64,6.8,10.9
96,43.45010212231962,2022,1,5,0,92.95,0.47,356.3,0.67,357.4,0.0,76.22,6.68,10.9
97,43.45010212231962,2022,1,5,1,92.91,0.42,1.4,0.6,2.9,0.0,74.38,6.56,10.99
98,43.45010212231962,2022,1,5,2,92.89,0.47,338.9,0.67,339.1,0.0,73.46,6.45,10.92
99,43.45010212231962,2022,1,5,3,92.9,0.65,324.4,0.97,323.8,0.0,73.43,6.34,10.67
100,43.45010212231962,2022,1,5,4,92.88,0.57,349.9,0.83,349.6,0.0,72.03,6.22,10.67
101,43.45010212231962,2022,1,5,5,92.92,0.53,19.8,0.77,17.5,0.0,68.92,6.08,11.0
102,43.45010212231962,2022,1,5,6,93.0,0.3,34.2,0.44,25.4,0.0,65.94,6.0,11.48
103,43.45010212231962,2022,1,5,7,93.06,0.19,152.1,0.21,152.2,0.0,66.38,5.98,11.34
104,43.45010212231962,2022,1,5,8,93.12,0.31,174.5,0.49,176.5,0.0,74.29,7.16,12.36
