,PM2.5,YEAR,MO,DY,HR,PS,WS2M,WD2M,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M
0,75.78095227,2022,1,1,0,88.03,0.47,317.6,0.77,319.2,0,83.08,6.7,8.85
1,56.58412715,2022,1,1,1,88,0.4,310,0.64,313.7,0,80.28,6.48,8.86
2,49.53870958,2022,1,1,2,87.96,0.26,319.6,0.46,323.9,0,78.29,6.27,8.74
3,47.3984375,2022,1,1,3,87.93,0.28,300.3,0.46,306.1,0,77.32,6.02,8.32
4,42.82187498,2022,1,1,4,87.91,0.29,329,0.51,330.4,0,75.66,5.8,8.09
5,37.93125027,2022,1,1,5,87.92,0.32,5.4,0.53,3.2,0,72.34,5.54,8.08
6,53.29999995,2022,1,1,6,87.97,0.49,29.2,0.75,26.9,0,68.91,5.27,8.07
7,51.33968238,2022,1,1,7,88.02,0.59,35.3,0.89,34,0,64.5,5.11,8.6
8,83.16562533,2022,1,1,8,88.09,0.24,48.4,0.43,41.2,0,66.84,6.38,11.38
9,117.4015623,2022,1,1,9,88.15,0.98,232.4,1.29,232.9,0,58.95,6.61,13.84
10,98.71562517,2022,1,1,10,88.16,1.92,225.2,2.5,225.3,0,57.42,6.94,15
11,54.57812488,2022,1,1,11,88.1,2.41,223.8,3.17,223.7,0,56.8,7.2,15.73
12,36.47656241,2022,1,1,12,88.02,2.68,225.5,3.54,225.5,0,57.02,7.4,16.08
13,19.55846145,2022,1,1,13,87.94,2.83,227.9,3.77,227.8,0,57.97,7.54,16.1
14,23.47741928,2022,1,1,14,87.9,2.81,230.5,3.79,230.3,0,60.07,7.63,15.72
15,22.55873017,2022,1,1,15,87.88,2.53,233.7,3.48,233.7,0,63.93,7.67,14.83
16,25.63492063,2022,1,1,16,87.88,1.69,236.6,2.5,236.6,0,74.05,8,13.21
17,36.06190445,2022,1,1,17,87.9,0.74,248.6,1.6,246.5,0,89.22,7.75,9.92
18,46.51250005,2022,1,1,18,87.94,0.56,282.3,1.13,279.1,0,93.38,7.39,8.55
19,32.56093755,2022,1,1,19,87.98,0.53,305.8,1,306.9,0,94.95,7.21,7.95
20,51.01562506,2022,1,1,20,88,0.54,315.7,0.98,317.9,0,93.21,6.98,7.75
21,64.46984149,2022,1,1,21,87.99,0.58,316.4,0.99,319.5,0,89.08,6.72,7.86
22,71.91587303,2022,1,1,22,87.97,0.57,313.6,0.94,317.2,0,85.34,6.46,7.91
23,52.75238104,2022,1,1,23,87.93,0.6,310.3,0.95,313.7,0,82.18,6.21,7.88
24,45.71875,2022,1,2,0,87.9,0.65,308.8,1.03,312.2,0,80.15,5.98,7.69
25,36.31746011,2022,1,2,1,87.89,0.71,310.4,1.1,313.9,0,77.41,5.74,7.6
26,25.99531248,2022,1,2,2,87.86,0.76,316.1,1.19,317.7,0,74.4,5.48,7.5
27,26.43593752,2022,1,2,3,87.83,0.78,321.2,1.23,322.9,0,70.39,5.2,7.54
28,22.92656261,2022,1,2,4,87.81,0.76,323,1.19,324.6,0,66.24,4.9,7.56
29,26.60312498,2022,1,2,5,87.84,0.7,320.8,1.1,324.3,0,62.73,4.61,7.47
30,34.00317449,2022,1,2,6,87.88,0.56,327.4,0.89,332,0,58.37,4.34,7.65
31,37.6515626,2022,1,2,7,87.91,0.34,351.6,0.6,355.2,0,54.38,4.3,8.56
32,59.04843754,2022,1,2,8,87.96,0.04,236.3,0.08,330.3,0,61.11,5.72,11.07
33,84.95238095,2022,1,2,9,88.02,1.06,222.7,1.42,222.7,0,52.9,5.81,13.51
34,67.59682519,2022,1,2,10,88.05,1.98,215.9,2.6,215.8,0,53.1,6.3,14.7
35,46.52187508,2022,1,2,11,88,2.27,214.2,2.97,214.2,0,53.89,6.69,15.39
36,35.9215386,2022,1,2,12,87.9,2.43,217.3,3.17,217.3,0,54.2,6.93,15.83
37,27.95666668,2022,1,2,13,87.8,2.48,223.2,3.26,223.1,0,55.07,7.09,15.92
38,25.79843757,2022,1,2,14,87.73,2.37,230.1,3.14,230,0,56.85,7.14,15.52
39,25.49365077,2022,1,2,15,87.68,2.04,234.4,2.84,234.3,0,61.92,7.23,14.38
40,31.64444433,2022,1,2,16,87.68,1.07,237.2,1.74,236.9,0,76.34,7.9,12.52
41,46.89999992,2022,1,2,17,87.7,0.48,255.4,1.13,250.3,0,85.25,7.48,10.04
42,47.57142854,2022,1,2,18,87.77,0.41,281.3,0.87,276.6,0,86.39,6.97,8.81
43,63.61746046,2022,1,2,19,87.84,0.41,313,0.79,310.9,0,86.75,6.76,8.31
44,62.33906299,2022,1,2,20,87.88,0.45,323.1,0.8,324.7,0,84.4,6.55,8.26
45,56.22500014,2022,1,2,21,87.89,0.44,328.1,0.73,333.1,0,82.29,6.32,8.11
46,40.61774192,2022,1,2,22,87.87,0.41,327.8,0.68,334.9,0,80.08,6.08,7.94
47,38.84920653,2022,1,2,23,87.83,0.43,321.5,0.69,329.3,0,77.57,5.88,7.91
48,34.38888886,2022,1,3,0,87.79,0.42,316,0.65,323.1,0,74.12,5.67,8.04
49,32.12031236,2022,1,3,1,87.78,0.53,312.7,0.83,315,0,71.15,5.48,8.14
50,25.8687501,2022,1,3,2,87.77,0.64,315.6,1.04,316.2,0,69.79,5.27,7.85
51,25.59384616,2022,1,3,3,87.73,0.62,324.2,0.95,327,0,65.56,5.02,8.05
52,22.94531247,2022,1,3,4,87.7,0.66,337.7,1.01,339.8,0,62.6,4.72,7.82
53,27.21562493,2022,1,3,5,87.69,0.7,5.7,1.07,4.8,0,59.02,4.48,7.92
54,32.79365076,2022,1,3,6,87.71,0.68,21.6,1,20.4,0,54.78,4.26,8.28
55,54.511111,2022,1,3,7,87.75,0.5,23.5,0.76,20.8,0,52.75,4.27,8.88
56,67.06093705,2022,1,3,8,87.81,0.17,310.2,0.33,321.1,0,60.05,5.71,11.28
57,85.85937458,2022,1,3,9,87.86,1.23,243.4,1.63,243.4,0,54.86,6.03,13.49
58,63.63492057,2022,1,3,10,87.85,2.06,231.5,2.7,231.3,0,54.36,6.52,14.83
59,50.95538468,2022,1,3,11,87.78,2.68,227.7,3.56,227.6,0,54.21,6.9,15.74
60,41.91269841,2022,1,3,12,87.68,3.13,227.1,4.2,226.9,0,54.47,7.15,16.2
61,19.35396827,2022,1,3,13,87.6,3.38,226.4,4.6,226.3,0,55.74,7.32,16.19
