,Unnamed: 0,date,PM2.5,YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,PS,WS10M,T2M,WD10M
0,1,1/1/2022 0:00,75.78095227,2022,1,1,0,6.7,83.08,0.0,0.47,317.6,88.03,0.77,8.85,319.2
1,2,1/1/2022 1:00,56.58412715,2022,1,1,1,6.48,80.28,0.0,0.4,310.0,88.0,0.64,8.86,313.7
2,3,1/1/2022 2:00,49.53870958,2022,1,1,2,6.27,78.29,0.0,0.26,319.6,87.96,0.46,8.74,323.9
3,4,1/1/2022 3:00,47.3984375,2022,1,1,3,6.02,77.32,0.0,0.28,300.3,87.93,0.46,8.32,306.1
4,5,1/1/2022 4:00,42.82187498,2022,1,1,4,5.8,75.66,0.0,0.29,329.0,87.91,0.51,8.09,330.4
5,6,1/1/2022 5:00,37.93125027,2022,1,1,5,5.54,72.34,0.0,0.32,5.4,87.92,0.53,8.08,3.2
6,7,1/1/2022 6:00,53.29999995,2022,1,1,6,5.27,68.91,0.0,0.49,29.2,87.97,0.75,8.07,26.9
7,8,1/1/2022 7:00,51.33968238,2022,1,1,7,5.11,64.5,0.0,0.59,35.3,88.02,0.89,8.6,34.0
8,9,1/1/2022 8:00,83.16562533,2022,1,1,8,6.38,66.84,0.0,0.24,48.4,88.09,0.43,11.38,41.2
9,10,1/1/2022 9:00,117.4015623,2022,1,1,9,6.61,58.95,0.0,0.98,232.4,88.15,1.29,13.84,232.9
10,11,1/1/2022 10:00,98.71562517,2022,1,1,10,6.94,57.42,0.0,1.92,225.2,88.16,2.5,15.0,225.3
11,12,1/1/2022 11:00,54.57812488,2022,1,1,11,7.2,56.8,0.0,2.41,223.8,88.1,3.17,15.73,223.7
12,13,1/1/2022 12:00,36.47656241,2022,1,1,12,7.4,57.02,0.0,2.68,225.5,88.02,3.54,16.08,225.5
13,14,1/1/2022 13:00,19.55846145,2022,1,1,13,7.54,57.97,0.0,2.83,227.9,87.94,3.77,16.1,227.8
14,15,1/1/2022 14:00,23.47741928,2022,1,1,14,7.63,60.07,0.0,2.81,230.5,87.9,3.79,15.72,230.3
15,16,1/1/2022 15:00,22.55873017,2022,1,1,15,7.67,63.93,0.0,2.53,233.7,87.88,3.48,14.83,233.7
16,17,1/1/2022 16:00,25.63492063,2022,1,1,16,8.0,74.05,0.0,1.69,236.6,87.88,2.5,13.21,236.6
17,18,1/1/2022 17:00,36.06190445,2022,1,1,17,7.75,89.22,0.0,0.74,248.6,87.9,1.6,9.92,246.5
18,19,1/1/2022 18:00,46.51250005,2022,1,1,18,7.39,93.38,0.0,0.56,282.3,87.94,1.13,8.55,279.1
19,20,1/1/2022 19:00,32.56093755,2022,1,1,19,7.21,94.95,0.0,0.53,305.8,87.98,1.0,7.95,306.9
20,21,1/1/2022 20:00,51.01562506,2022,1,1,20,6.98,93.21,0.0,0.54,315.7,88.0,0.98,7.75,317.9
21,22,1/1/2022 21:00,64.46984149,2022,1,1,21,6.72,89.08,0.0,0.58,316.4,87.99,0.99,7.86,319.5
22,23,1/1/2022 22:00,71.91587303,2022,1,1,22,6.46,85.34,0.0,0.57,313.6,87.97,0.94,7.91,317.2
23,24,1/1/2022 23:00,52.75238104,2022,1,1,23,6.21,82.18,0.0,0.6,310.3,87.93,0.95,7.88,313.7
24,25,1/2/2022 0:00,45.71875,2022,1,2,0,5.98,80.15,0.0,0.65,308.8,87.9,1.03,7.69,312.2
25,26,1/2/2022 1:00,36.31746011,2022,1,2,1,5.74,77.41,0.0,0.71,310.4,87.89,1.1,7.6,313.9
26,27,1/2/2022 2:00,25.99531248,2022,1,2,2,5.48,74.4,0.0,0.76,316.1,87.86,1.19,7.5,317.7
27,28,1/2/2022 3:00,26.43593752,2022,1,2,3,5.2,70.39,0.0,0.78,321.2,87.83,1.23,7.54,322.9
28,29,1/2/2022 4:00,22.92656261,2022,1,2,4,4.9,66.24,0.0,0.76,323.0,87.81,1.19,7.56,324.6
29,30,1/2/2022 5:00,26.60312498,2022,1,2,5,4.61,62.73,0.0,0.7,320.8,87.84,1.1,7.47,324.3
30,31,1/2/2022 6:00,34.00317449,2022,1,2,6,4.34,58.37,0.0,0.56,327.4,87.88,0.89,7.65,332.0
31,32,1/2/2022 7:00,37.6515626,2022,1,2,7,4.3,54.38,0.0,0.34,351.6,87.91,0.6,8.56,355.2
32,33,1/2/2022 8:00,59.04843754,2022,1,2,8,5.72,61.11,0.0,0.04,236.3,87.96,0.08,11.07,330.3
