,Unnamed: 0,date,PM2.5,YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,PS,WS10M,T2M,WD10M
0,1,1/1/2022 0:00,,2022,1,1,0,7.43,84.83,0.0,0.72,305.9,93.29,1.18,10.94,305.3
1,2,1/1/2022 1:00,,2022,1,1,1,7.24,82.53,0.0,0.59,296.1,93.26,0.93,10.96,297.4
2,3,1/1/2022 2:00,,2022,1,1,2,7.05,82.79,0.0,0.58,279.9,93.22,0.93,10.51,281.2
3,4,1/1/2022 3:00,,2022,1,1,3,6.86,83.56,0.0,0.66,279.6,93.2,1.05,9.96,280.5
4,5,1/1/2022 4:00,,2022,1,1,4,6.7,82.25,0.0,0.6,294.4,93.17,0.95,9.84,296.3
5,6,1/1/2022 5:00,,2022,1,1,5,6.51,78.71,0.0,0.55,312.1,93.18,0.82,10.07,315.0
6,7,1/1/2022 6:00,,2022,1,1,6,6.26,75.03,0.0,0.52,336.4,93.21,0.79,10.21,337.7
7,8,1/1/2022 7:00,,2022,1,1,7,6.11,71.54,0.0,0.44,350.8,93.27,0.7,10.57,349.3
8,9,1/1/2022 8:00,,2022,1,1,8,7.08,70.93,0.0,0.1,315.0,93.33,0.26,12.93,330.5
9,10,1/1/2022 9:00,,2022,1,1,9,7.19,60.94,0.0,0.98,241.3,93.4,1.28,15.52,242.6
10,11,1/1/2022 10:00,,2022,1,1,10,7.54,58.45,0.0,1.84,232.1,93.42,2.4,16.92,232.3
11,12,1/1/2022 11:00,,2022,1,1,11,7.87,57.95,0.0,2.22,229.2,93.36,2.9,17.72,229.1
12,13,1/1/2022 12:00,,2022,1,1,12,8.08,57.85,0.0,2.46,230.9,93.27,3.23,18.15,230.9
13,14,1/1/2022 13:00,,2022,1,1,13,8.2,58.28,0.0,2.64,235.0,93.18,3.5,18.25,235.1
14,15,1/1/2022 14:00,,2022,1,1,14,8.27,59.85,0.0,2.62,239.7,93.13,3.53,17.95,239.9
15,16,1/1/2022 15:00,,2022,1,1,15,8.3,63.01,0.0,2.38,244.1,93.1,3.29,17.19,244.2
16,17,1/1/2022 16:00,,2022,1,1,16,8.69,72.98,0.0,1.68,246.5,93.11,2.55,15.6,246.7
17,18,1/1/2022 17:00,,2022,1,1,17,8.37,87.89,0.0,0.92,252.3,93.13,2.05,12.17,251.8
18,19,1/1/2022 18:00,,2022,1,1,18,7.83,90.28,0.0,0.8,272.1,93.18,1.86,10.77,268.8
19,20,1/1/2022 19:00,,2022,1,1,19,7.61,92.36,0.0,0.75,291.8,93.22,1.66,10.01,287.6
20,21,1/1/2022 20:00,,2022,1,1,20,7.4,92.79,0.0,0.81,303.9,93.24,1.63,9.53,301.4
21,22,1/1/2022 21:00,,2022,1,1,21,7.17,91.14,0.0,0.86,308.9,93.24,1.6,9.33,307.9
22,23,1/1/2022 22:00,,2022,1,1,22,6.93,88.31,0.0,0.86,307.0,93.21,1.5,9.29,306.3
23,24,1/1/2022 23:00,,2022,1,1,23,6.71,85.95,0.0,0.84,303.9,93.18,1.42,9.21,303.8
24,25,1/2/2022 0:00,,2022,1,2,0,6.5,83.35,0.0,0.8,303.3,93.15,1.31,9.19,303.8
25,26,1/2/2022 1:00,,2022,1,2,1,6.32,80.18,0.0,0.77,304.9,93.14,1.22,9.35,306.7
26,27,1/2/2022 2:00,,2022,1,2,2,6.13,78.75,0.0,0.68,310.2,93.1,1.11,9.16,312.4
27,28,1/2/2022 3:00,,2022,1,2,3,5.92,76.44,0.0,0.64,312.5,93.06,1.07,9.08,315.4
